序号,中标公告唯一标识,标段名称,标段编号,中标公告发布时间,中标单位,中标单位代码,中标价,项目负责人,工期,质量承诺,项目名称,中标时间,标段所在行政区域代码,费率或其它类型结果,交易平台名称,投诉情况,回复情况,行政监督机构名称,专家姓名,交易平台标识码,,
0,31444,鞋塘文化教育综合楼工程,A3307030800001677001001,53:30.0,浙江立川建设有限公司,9.13307E+17,12375190,汪镇,0,不低于国家相关验收的合格标准,鞋塘文化教育综合楼工程,00:00.0,330702,,金华市公共资源交易中心金东区分中心,,,金华市金东区住房和城乡建设局,,A3307030800,,
1,b73ad3eb-c9e2-4bda-8129-b0c5854a4153,小白线（南秀路-医宁路）项目,A3301090130504855001221,00:00.0,宏胜建设有限公司,9133078274412476X8,57030926,徐红胜,0,无,小白线（南秀路-医宁路）项目,12:18.0,330109,,杭州市公共资源交易中心萧山分中心,,,杭州市萧山区建设工程招标投标管理办公室,,A3301090130,,
2,31491,金义新区东片城市有机更新项目傅村一期施工项目,A3307030800001717001001,35:30.0,海天建设集团有限公司,91330783785663700R,692253733,张政委,0,不低于国家相关验收的合格标准，确保双龙杯,金义新区东片城市有机更新项目傅村一期施工项目,00:00.0,330702,,金华市公共资源交易中心金东区分中心,,,金华市金东区住房和城乡建设局,,A3307030800,,
3,D33100320221122093619119,黄岩经济开发区江口综合体项目（亮化工程）,A3310011060002752001001,30:11.0,绍兴玉宸建设有限公司,91330600796485110D,1700030,120D1DE23E49B56CDA7A9967B5F0CF0C,60,合格,黄岩经济开发区江口综合体项目,14:55.0,331001,/,台州市公共资源交易中心,,,台州市黄岩区建设工程招标投标事务中心,,A3310011060,,
4,38b0df5d-54df-4239-869d-c2272dd499c20000000000000000000000000000,泰顺县全域旅游建设项目（一期）-大安乡土陶小镇特色街区风貌提升工程,A3303290500000583001001,38:58.0,温州嘉仕建设有限公司,91330326MA2HC20A96,10497108,杨象靠,180,1,泰顺县全域旅游建设项目（一期）-大安乡土陶小镇特色街区风貌提升工程,38:50.0,330329,,泰顺县招投标中心,,,泰顺县住房和城乡建设局,,A3303290500,,
5,1.59473E+15,宁波大榭开发区信海油品仓储有限公司小田湾油库二期项目监理,A3302331330202010001001,10:02.0,上海申峰工程建设监理有限公司,91310230132243960M,1580000,徐尚钢,0,符合招标文件要求,宁波大榭开发区信海油品仓储有限公司小田湾油库二期项目监理,37:47.0,330233,,大榭开发区公共资源交易平台,,,大榭开发区招标办,,A3302331330,,
6,5efa5620-5baf-458e-9c56-9dd76dc395e60000000000000000000000000000,浙江大学医学院附属第一医院重大疫情救治基地建设项目医用气体工程（重新招标）,E3300000007000350008001,00:00.0,浙江强盛医用工程有限公司,91330283726387216M,15270012,无,282,无,浙江大学医学院附属第一医院重大疫情救治基地建设项目,18:20.0,330000,,浙江省公共资源交易中心,,,浙江省招标投标管理中心,,A3300000020,,
7,028081f1-d44e-42f9-8596-20ed732ccb76,紫金港路（天目山路-余杭塘路）无障碍环境提升工程,A3301010060301699001001,00:00.0,浙江今隆建设有限公司,9.13301E+17,862252,郑震,0,无,紫金港路（天目山路-余杭塘路）无障碍环境提升工程,56:46.0,330101,,杭州市公共资源交易中心,,,杭州市建设工程招标造价服务中心,,A3301010060,,
8,c50cab8e-14ce-4578-8a4f-1851d22a9c63,城东新城单元TC-R22-04地块居住区配套公共服务设施项目,A3301010060302102001001,00:00.0,方远建设集团股份有限公司,9133000014823804XD,120280499,卢志长,0,无,城东新城单元TC-R22-04地块居住区配套公共服务设施项目,04:58.0,330101,,杭州市公共资源交易中心,,,杭州市建设工程招标造价服务中心,,A3301010060,,
9,827ea4b0-1467-439f-905e-094359246a6c0000000000000000000000000000,"乐清市北白象镇乐东至白石镇大岙隧道及接线工程（白石段接线工程）,",A3303820540000924001001,51:11.0,台州众意建设有限公司,91331022MA2AKBHL99,6746649,无,300,1,乐清市北白象镇乐东至白石镇大岙隧道及接线工程（白石段接线工程）,51:11.0,330382,,乐清市公共资源交易中心,,,交通局,,A3303820540,,
10,f88ef63f-877a-482b-a44d-94596c24b3a3,衢州巨化锦纶有限责任公司10万吨年环氧氯丙烷项目一批石墨塔,A3308010016320020010000,32:40.0,南通华耐特石墨设备有限公司,91320612753222345F,12576000,无,0,无,10万吨/年环氧氯丙烷项目,32:40.0,330801,,衢州市公共资源交易中心,,,衢州市公共资源交易监督管理办公室,,A3308010910,,
11,4e09957d-11ed-4225-b623-b8a7f6f36f74,义乌市城西街道物流仓储基地配套工程（地质灾害治理项目）监理,YW20200522006-J00100000,28:00.0,长沙中核工程监理咨询有限公司,91430105743199604A,0,无,1085,无,义乌市城西街道物流仓储基地配套工程（地质灾害治理项目）监理,28:00.0,330782,15.85%,义乌市公共资源交易中心,,,义乌市·市本级,,A3307820880,,
12,e685c669-608c-4803-8bfe-ff1b7e92b711,新埭镇新兴路（平兴线—镇南路段）改造提升工程施工监理,A3304820630000676001001,01:10.0,南京正通工程咨询有限公司,91320114302778176E,1440000,/,0,/,新埭镇新兴路（平兴线—镇南路段）改造提升工程施工监理,01:10.0,330482,,平湖市公共服务平台,,,新点电子招投标监督平台,,A3304820630,,
13,90564a8b-a233-40d9-86a1-5f108e012e9a,柯桥区人才公寓项目,A3306030730001295001001,01:45.0,浙江宝业建设集团有限公司,9.13306E+17,488636060,陆渭方,1095,合格,柯桥区人才公寓项目,30:00.0,330603,下浮率,绍兴市柯桥区公共资源交易中心,,,绍兴市柯桥区公共资源交易管理委员会办公室,,A3306030730,,
14,20201225085723142-20201130111527921,第1标段,E3302060053001319001001,58:27.0,宁波市北仑区宏大花木有限公司,91330206744960311G,4150868,黄玲珠,0,一次性验收合格,凤洋二路口袋公园景观提升工程,58:27.0,330200,0,北仑区公共资源交易中心,,,北仑区（开发区）行政审批管理办公室,,A3302060260,,
15,1.63522E+15,章水镇后溪河后溪公路新建工程,A3302030230000509001001,00:00.0,浙江成明公路建设有限公司,91330824552854813M,12475719,巫大可,0,标段工程交（竣）工验收质量评定：合格,章水镇后溪河后溪公路新建工程,04:18.0,330203,其他,海曙区公共资源交易平台,,,宁波市海曙区公共资源交易管理办公室,,A3302030230,,
16,1.65819E+15,玉环市高铁站至沙岙公路工程可行性研究报告咨询、设计咨询（重新）,A3310211100000389005001,00:00.0,浙江公路水运工程咨询有限责任公司,91330000142934247L,1358000,方成,0,合格,玉环市高铁站至沙岙公路工程,31:47.0,331021,,玉环市公共资源交易平台,,,玉环市交通运输局,,A3310211100,,
17,aa98148a-6edb-406c-b209-91f673da7377,安邦护卫浙江公共安全服务中心项目设计,A3301300180300352001001,00:00.0,浙江省建科建筑设计院有限公司,91330000143102565D,4150000,,0,无,安邦护卫浙江公共安全服务中心项目设计,51:38.0,330130,,杭州市公共资源交易中心钱塘分中心,,,杭州市钱塘新区建设局,,A3301300180,,
18,ef5ae061-d7c2-43d2-acba-30020a3f8b5f,定海区老旧小区综合改造项目—檀树南区标段,A3309021010000258001001,09:13.0,征鸿环境建设有限公司,91330824768682774T,28486123,刘萍,0,合格,定海区老旧小区综合改造项目—檀树南区标段,09:13.0,330902,,舟山市定海区公共资源交易中心,,,舟山市定海区公共资源交易中心,,A3309021010,,
19,ee0f5168-041a-4f95-9817-ac7c9a386cc9,海宁市长山河中小河流治理项目（第一批）-阳光科技小镇片区施工,A3304810620000588001001,16:30.0,浙江江河建设有限公司,91330604MA29E6AJ0N,19167279,贾波,0,/,海宁市长山河中小河流治理项目（第一批）-阳光科技小镇片区施工,16:30.0,330481,,海宁市公共服务平台,,,新点电子招投标监督平台,,A3304810620,,
20,1.62858E+15,玉环市高铁站至沙岙公路工程,A3310211100000389002001,00:00.0,浙江数智交院科技股份有限公司,91330000470040234R,1080000,赵云安,0,符合招标文件规定的质量目标要求,玉环市高铁站至沙岙公路工程,37:18.0,331021,,玉环市公共资源交易平台,,,玉环市交通运输局,,A3310211100,,
21,dd54e782-e5aa-40cc-8cea-fd6794c9e49f0000000000000000000000000000,练市镇2014-6号（练溪大桥西侧）地块监理项目,A3305010650000214001001,03:45.0,浙江天元项目管理有限公司,91330522773135660G,2436600,马明爽,0,无,练市镇2014-6号（练溪大桥西侧）地块监理项目,03:24.0,330503,1,湖州市南浔区公共资源交易中心,,,湖州市公共资源交易中心,,A3305030670,,
22,56a31122-f6ff-4a8a-a0d6-8aa604a74e5a0000000000000000000000000000,监理,E3300000007000290004001,00:00.0,浙江方圆工程咨询有限公司,9.13311E+17,2310000,杨伏良,900,无,浙江经贸职业技术学院产教融合大楼建设工程项目,17:06.0,330000,,浙江省公共资源交易中心,,,浙江省招标投标管理中心,,A3300000020,,
23,D33100320200525164417631,2020年黄岩区公路养护大中修工程（二期）,G3310011234000752001001,14:20.0,台州市黄岩公路工程有限公司,91331003723649444Q,10233442,丁建斌,100,合格,2020年黄岩区公路养护大中修工程（二期）,42:55.0,331001,,台州市公共资源交易中心,,,台州市公路管理局,,A3310011060,,
24,1be9c908-7b6d-446a-bd13-7b5990b58854,嘉兴市第一医院二期工程(传染病楼改扩建及新建医教研综合楼)设计服务,A3304010550001485001001,50:09.0,浙江省建筑设计研究院,9133000047003271X8,15980000,陈志青,0,/,嘉兴市第一医院二期工程(传染病楼改扩建及新建医教研综合楼)设计服务,50:09.0,330401,,嘉兴市公共服务平台,,,新点电子招投标监督平台,,A3304010550,,
25,172744,兴凯路（玉泉南路-鄞城大道）改建工程（监理）,A3302010220000039001001,10:17.0,宁波交通工程咨询监理有限公司,9.13302E+17,4894656,邵工,0,同施工质量等级要求,兴凯路（玉泉南路-鄞城大道）改建工程（监理）,00:00.0,330201,,宁波市公共资源交易中心,,,市发展和改革委员会,,A3302010220,,
26,39021,浙南科技城瑶溪北单元11-B-03地块中学装修工程,A3303030430000114001001,10:30.0,厦门城健建设有限公司,9.13502E+17,31910894,刘志聪,270,合格,浙南科技城瑶溪北单元11-B-03地块中学装修工程,10:19.0,330303,,温州市行政审批与公共资源交易服务管理中心龙湾分中心,,,温州市龙湾区建设工程招投标监理站,,A3303030430,,
27,7456b0f6-ec28-44f9-9cb6-3bb574d727f20000000000000000000000000000,第三方检测服务,E3300000007000266005001,00:00.0,浙江省水利河口研究院（浙江省海洋规划设计研究院）,12330000470043742U,1075000,黄建超,1460,无,鳌江南港流域江西垟平原排涝工程（二期）,29:12.0,330000,,浙江省公共资源交易中心,,,浙江省招标投标管理中心,,A3300000020,,
28,90b7a506-3780-4a50-85f5-14ebf29968d8,棕榈路西延（莫干山路-天阳学校）提升工程,A3301100140300527001001,00:00.0,浙江东欣建设集团有限公司,91330110143801008K,24273130,桂府成,0,无,棕榈路西延（莫干山路-天阳学校）提升工程,20:57.0,330110,,杭州市余杭区公共资源交易中心,,,杭州市余杭区住房和城乡建设局,,A3301100140,,
29,D33052120221122105855260,智能生态城云谷路（长虹街—康乾街）道路工程,A3305210680110525001001,43:10.0,浙江乔兴建设集团有限公司,91330500146982764L,88651322,吕清容,500,合格,智能生态城云谷路（长虹街—康乾街）道路工程,00:00.0,331001,,德清县公共资源交易中心,,,公共资源交易管理办公室,,A3305210680,,
30,9a3fa4f9-369a-47fd-9945-6eb20836c5ba,经济开发区（海昌街道）兴业路（薛家桥港以西段）项目,A3304810620000280001001,43:18.0,温州神光建设工程有限公司,91330326145708448B,11438572,吴阿散,0,合格,经济开发区（海昌街道）兴业路（薛家桥港以西段）项目,43:18.0,330481,,海宁市公共资源交易中心,,,海宁市公管办,,A3304810620,,
31,30067,开化县金溪画廊密赛典范村建设项目（实施方案至初步设计）阶段设计服务,20210207003901无00000000,09:40.0,上海同建强华建筑设计有限公司,9.13101E+17,0,孙醒宇,20,一次性验收合格,开化县金溪画廊密赛典范村建设项目（实施方案至初步设计）阶段设计服务,09:28.0,330824,2.9,开化县公共资源市场化配置监督管理办公室,,,县监管办,,A3308240950,,
32,e70b9644-f8be-4510-8aa4-021fe506529e,衢州市城南初中周边道路配套工程,A3308010016240010010000,58:38.0,衢州百意达建设有限公司,91330822679587759R,10325886,殷美琴,0,无,衢州市城南初中周边道路配套工程,58:38.0,330801,,衢州市公共资源交易中心,,,衢州市公共资源交易监督管理办公室,,A3308010910,,
33,1390e9b6-6457-43d2-a179-835cd7b7c604,锦城街道长路畈社区邻里中心项目(一期)工程(重新招标),A3301850210000036001001,00:00.0,杭州临安佰泽建设工程有限公司,91330185MA27X0R68C,6207569,金海来,0,无,锦城街道长路畈社区邻里中心项目(一期)工程(重新招标),42:08.0,330185,,临安市公共资源招投标交易中心,,,杭州市临安区住房和城乡建设局,,A3301850210,,
34,a95b8e5f-bdd7-418c-9fa9-1bc6587ea613,萧山区义桥镇社区卫生服务中心迁建-装修工程,A3301090130501604001211,00:00.0,杭州永仁建设有限公司,9133010058989160XP,10760904,,0,无,萧山区义桥镇社区卫生服务中心迁建-装修工程,07:26.0,330109,,杭州市公共资源交易中心萧山分中心,,,杭州市萧山区建设工程招标投标管理办公室,,A3301090130,,
35,0e16324c-7bb0-4b00-9b27-d508fa86208c,义乌国际生产资料市场配套工程——宾馆装饰工程（二标段）,YW20200731001-S00200000,53:41.0,深圳鹏润建设集团有限公司,91440300786576107D,55754222,段硕,272,国家现行施工验收规范合格标准,义乌国际生产资料市场配套工程——宾馆装饰工程,53:41.0,330782,,义乌市公共资源交易中心,,,义乌市·市本级,,A3307820880,,
36,d46697ce-f950-466b-90e4-b16208859afa,余杭区大运河文化带建设（大运河综合保护）一期——良渚段（二）项目监理,A3301100140300847001001,00:00.0,政通建设管理有限公司,91330110762039446N,925691,黄国强,0,无,余杭区大运河文化带建设（大运河综合保护）一期——良渚段（二）项目监理,01:30.0,330110,,杭州市余杭区公共资源交易中心,,,杭州市余杭区住房和城乡建设局,,A3301100140,,
