,中标公告唯一标识,标段名称,标段编号,中标公告发布时间,中标单位,中标单位代码,中标价,项目负责人,工期,质量承诺,项目名称,中标时间,标段所在行政区域代码,费率或其它类型结果,交易平台名称,投诉情况,回复情况,行政监督机构名称,专家姓名,交易平台标识码
0,31444,鞋塘文化教育综合楼工程,A3307030800001677001001,2023-01-06 15:53:30.0,浙江立川建设有限公司,913307233234542269,12375190,汪镇,0,不低于国家相关验收的合格标准,鞋塘文化教育综合楼工程,2022-11-14 16:00:00.0,330702,,金华市公共资源交易中心金东区分中心,,,金华市金东区住房和城乡建设局,,A3307030800
1,b73ad3eb-c9e2-4bda-8129-b0c5854a4153,小白线（南秀路-医宁路）项目,A3301090130504855001221,2023-02-10 09:00:00.0,宏胜建设有限公司,9133078274412476X8,57030926,徐红胜,0,无,小白线（南秀路-医宁路）项目,2022-12-30 17:12:18.0,330109,,杭州市公共资源交易中心萧山分中心,,,杭州市萧山区建设工程招标投标管理办公室,,A3301090130
2,31491,金义新区东片城市有机更新项目傅村一期施工项目,A3307030800001717001001,2023-01-13 10:35:30.0,海天建设集团有限公司,91330783785663700R,692253733,张政委,0,不低于国家相关验收的合格标准，确保双龙杯,金义新区东片城市有机更新项目傅村一期施工项目,2022-12-23 17:00:00.0,330702,,金华市公共资源交易中心金东区分中心,,,金华市金东区住房和城乡建设局,,A3307030800
3,D33100320221122093619119,黄岩经济开发区江口综合体项目（亮化工程）,A3310011060002752001001,2022-11-24 15:30:11.0,绍兴玉宸建设有限公司,91330600796485110D,1700030,120D1DE23E49B56CDA7A9967B5F0CF0C,60,合格,黄岩经济开发区江口综合体项目,2022-11-17 16:14:55.0,331001,/,台州市公共资源交易中心,,,台州市黄岩区建设工程招标投标事务中心,,A3310011060
4,38b0df5d-54df-4239-869d-c2272dd499c20000000000000000000000000000,泰顺县全域旅游建设项目（一期）-大安乡土陶小镇特色街区风貌提升工程,A3303290500000583001001,2021-06-03 08:38:58.0,温州嘉仕建设有限公司,91330326MA2HC20A96,10497108,杨象靠,180,1,泰顺县全域旅游建设项目（一期）-大安乡土陶小镇特色街区风貌提升工程,2021-06-03 08:38:50.0,330329,,泰顺县招投标中心,,,泰顺县住房和城乡建设局,,A3303290500
5,1594733319534007,宁波大榭开发区信海油品仓储有限公司小田湾油库二期项目监理,A3302331330202010001001,2020-07-16 11:10:02.0,上海申峰工程建设监理有限公司,91310230132243960M,1580000,徐尚钢,0,符合招标文件要求,宁波大榭开发区信海油品仓储有限公司小田湾油库二期项目监理,2020-07-14 21:37:47.0,330233,,大榭开发区公共资源交易平台,,,大榭开发区招标办,,A3302331330
6,5efa5620-5baf-458e-9c56-9dd76dc395e60000000000000000000000000000,浙江大学医学院附属第一医院重大疫情救治基地建设项目医用气体工程（重新招标）,E3300000007000350008001,2021-11-18 00:00:00.0,浙江强盛医用工程有限公司,91330283726387216M,15270012,无,282,无,浙江大学医学院附属第一医院重大疫情救治基地建设项目,2021-11-18 14:18:20.0,330000,,浙江省公共资源交易中心,,,浙江省招标投标管理中心,,A3300000020
7,028081f1-d44e-42f9-8596-20ed732ccb76,紫金港路（天目山路-余杭塘路）无障碍环境提升工程,A3301010060301699001001,2021-09-24 09:00:00.0,浙江今隆建设有限公司,913301057696279020,862252,郑震,0,无,紫金港路（天目山路-余杭塘路）无障碍环境提升工程,2021-09-16 16:56:46.0,330101,,杭州市公共资源交易中心,,,杭州市建设工程招标造价服务中心,,A3301010060
8,c50cab8e-14ce-4578-8a4f-1851d22a9c63,城东新城单元TC-R22-04地块居住区配套公共服务设施项目,A3301010060302102001001,2021-12-24 09:00:00.0,方远建设集团股份有限公司,9133000014823804XD,120280499,卢志长,0,无,城东新城单元TC-R22-04地块居住区配套公共服务设施项目,2021-12-20 17:04:58.0,330101,,杭州市公共资源交易中心,,,杭州市建设工程招标造价服务中心,,A3301010060
9,827ea4b0-1467-439f-905e-094359246a6c0000000000000000000000000000,"乐清市北白象镇乐东至白石镇大岙隧道及接线工程（白石段接线工程）,",A3303820540000924001001,2020-09-01 14:51:11.0,台州众意建设有限公司,91331022MA2AKBHL99,6746649,无,300,1,乐清市北白象镇乐东至白石镇大岙隧道及接线工程（白石段接线工程）,2020-09-01 14:51:11.0,330382,,乐清市公共资源交易中心,,,交通局,,A3303820540
